그건 그건/NP
우리 우리/NP
부자 부자/NNG
사이의 사이/NNG+의/JKG
오랜 오랜/MM
의사소통 의사소통/NNG
방식이었다. 방식/NNG+이/VCP+었/EP+다/EF+./SF
정작 정작/MAG
그녀는 그녀/NP+는/JX
그럴 그럴/MM
생각이 생각/NNG+이/JKS
추호도 추호/NNG+도/JX
없는 없/VA+는/ETM
것 것/NNB
같았다. 같/VA+았/EP+다/EF+./SF
인생이란 인생/NNG+이란/JX
결국 결국/MAG
한 한/MM
우물을 우물/NNG+을/JKO
파야 파/VV+야/EC
훨씬 훨씬/MAG
더 더/MAG
성공적으로 성공/NNG+적/XSN+으로/JKB
보이는 보이/VV+는/ETM
법이다. 법/NNG+이/VCP+다/EF+./SF
한동안 한동안/NNG
나의 나/NP+의/JKG
관대함을 관대함/NNG+을/JKO
자랑했지만 자랑/NNG+했/EP+지만/EC
그 그/MM
너그러움에도 너그러움/NNG+에/JKB+도/JX
한계가 한계/NNG+가/JKS
있음을 있/VA+음/ETN+을/JKO
인정할 인정/NNG+할/MM
수밖에 수/NNB+밖에/JX
없었다. 없/VA+었/EP+다/EF+./SF
그러나 그러나/MAJ
도시의 도시/NNG+의/JKG
하늘을 하늘/NNG+을/JKO
장식하는 장식/NNG+하/XSV+는/ETM
노란 노란/VA
창문들은 창문/NNG+들/XSN+은/JX
밤거리에서 밤거리/NNG+에서/JKB
우연히 우연/NNG+히/XSB
고개를 고개/NNG+를/JKO
들어 들/VV+어/EC
아파트 아파트/NNG
꼭대기를 꼭대기/NNG+를/JKO
보는 보/VV+는/ETM
사람들에게 사람/NNG+들/XSN+에게/JKB
인간의 인간/NNG+의/JKG
비밀을 비밀/NNG+을/JKO
속삭이고 속삭이/VV+고/EC
있는 있/VX+는/ETM
것이 것/NNB+이/JKS
틀림없었다. 틀림없/VA+었/EP+다/EF+./SF
